"","V1","V2"
"1",14,1
"2",57,4
"3",34,1
"4",70,2
"5",71,3
"6",25,3
"7",45,3
"8",21,4
"9",19,4
"10",72,2
"11",60,1
"12",58,4
"13",47,2
"14",48,3
"15",44,3
"16",66,4
"17",64,2
"18",35,3
"19",17,2
"20",27,3
"21",52,4
"22",77,1
"23",9,2
"24",68,3
"25",12,2
"26",37,3
"27",63,4
"28",56,2
"29",38,3
"30",69,3
"31",55,2
"32",20,4
"33",23,4
"34",41,1
"35",16,1
"36",11,2
"37",39,1
"38",6,1
"39",7,1
"40",4,1
"41",22,1
"42",32,1
"43",31,4
"44",59,4
"45",18,4
"46",75,2
"47",74,2
"48",8,1
"49",33,1
"50",28,1
"51",61,4
"52",5,1
"53",29,3
"54",13,1
"55",10,2
"56",76,1
"57",36,3
"58",15,2
"59",50,3
"60",54,3
"61",1,1
"62",49,3
"63",46,3
"64",51,3
"65",30,4
"66",43,3
"67",3,1
"68",73,3
"69",40,3
"70",62,4
"71",67,3
"72",26,3
"73",65,4
"74",53,3
"75",2,1
"76",24,1
"77",42,3
