"","chicensus.COMMAREANO","hc1_4"
"1",14,1
"2",57,1
"3",34,2
"4",70,1
"5",71,1
"6",25,1
"7",45,1
"8",21,1
"9",19,1
"10",72,1
"11",60,1
"12",58,1
"13",47,3
"14",48,1
"15",44,1
"16",66,1
"17",64,1
"18",35,1
"19",17,1
"20",27,1
"21",52,1
"22",77,4
"23",9,1
"24",68,1
"25",12,1
"26",37,1
"27",63,1
"28",56,1
"29",38,1
"30",69,1
"31",55,1
"32",20,1
"33",23,1
"34",41,4
"35",16,4
"36",11,1
"37",39,1
"38",6,1
"39",7,1
"40",4,1
"41",22,1
"42",32,1
"43",31,1
"44",59,1
"45",18,4
"46",75,1
"47",74,1
"48",8,1
"49",33,1
"50",28,1
"51",61,1
"52",5,1
"53",29,1
"54",13,1
"55",10,1
"56",76,4
"57",36,1
"58",15,1
"59",50,4
"60",54,4
"61",1,4
"62",49,1
"63",46,1
"64",51,1
"65",30,1
"66",43,1
"67",3,4
"68",73,1
"69",40,1
"70",62,1
"71",67,1
"72",26,1
"73",65,1
"74",53,1
"75",2,1
"76",24,1
"77",42,1
