"","COMMAREANO","HYPERTENSION","COMMAREA"
"1",1,18.0466666666667,"ROGERS PARK"
"2",2,20.46,"WEST RIDGE"
"3",3,13.84,"UPTOWN"
"4",4,14.25,"LINCOLN SQUARE"
"5",5,9.49,"NORTH CENTER"
"6",6,NA,"LAKE VIEW"
"7",7,13.5066666666667,"LINCOLN PARK"
"8",8,15.66,"NEAR NORTH SIDE"
"9",9,19.32,"EDISON PARK"
"10",10,19.6866666666667,"NORWOOD PARK"
"11",11,NA,"JEFFERSON PARK"
"12",12,NA,"FOREST GLEN"
"13",13,NA,"NORTH PARK"
"14",14,18.14,"ALBANY PARK"
"15",15,20.99,"PORTAGE PARK"
"16",16,NA,"IRVING PARK"
"17",17,22.96,"DUNNING"
"18",18,NA,"MONTCLARE"
"19",19,20.58,"BELMONT CRAGIN"
"20",20,NA,"HERMOSA"
"21",21,NA,"AVONDALE"
"22",22,11.51,"LOGAN SQUARE"
"23",23,27.7033333333333,"HUMBOLDT PARK"
"24",24,13.36,"WEST TOWN"
"25",25,32.6,"AUSTIN"
"26",26,NA,"WEST GARFIELD PARK"
"27",27,NA,"EAST GARFIELD PARK"
"28",28,17.115,"NEAR WEST SIDE"
"29",29,24.45,"NORTH LAWNDALE"
"30",30,17.99,"SOUTH LAWNDALE"
"31",31,NA,"LOWER WEST SIDE"
"32",32,15.43,"LOOP"
"33",33,NA,"NEAR SOUTH SIDE"
"34",34,22.27,"ARMOUR SQUARE"
"35",35,28.31,"DOUGLAS"
"36",36,NA,"OAKLAND"
"37",37,NA,"FULLER PARK"
"38",38,25.8,"GRAND BOULEVARD"
"39",39,NA,"KENWOOD"
"40",40,30.02,"WASHINGTON PARK"
"41",41,NA,"HYDE PARK"
"42",42,30.57,"WOODLAWN"
"43",43,33.07,"SOUTH SHORE"
"44",44,33.29,"CHATHAM"
"45",45,28.19,"AVALON PARK"
"46",46,NA,"SOUTH CHICAGO"
"47",47,NA,"BURNSIDE"
"48",48,NA,"CALUMET HEIGHTS"
"49",49,32.76,"ROSELAND"
"50",50,32.26,"PULLMAN"
"51",51,NA,"SOUTH DEERING"
"52",52,NA,"EAST SIDE"
"53",53,30.875,"WEST PULLMAN"
"54",54,NA,"RIVERDALE"
"55",55,NA,"HEGEWISCH"
"56",56,22.79,"GARFIELD RIDGE"
"57",57,NA,"ARCHER HEIGHTS"
"58",58,NA,"BRIGHTON PARK"
"59",59,NA,"MCKINLEY PARK"
"60",60,NA,"BRIDGEPORT"
"61",61,NA,"NEW CITY"
"62",62,NA,"WEST ELSDON"
"63",63,32.52,"GAGE PARK"
"64",64,NA,"CLEARING"
"65",65,25.16,"WEST LAWN"
"66",66,NA,"CHICAGO LAWN"
"67",67,NA,"WEST ENGLEWOOD"
"68",68,NA,"ENGLEWOOD"
"69",69,NA,"GREATER GRAND CROSSING"
"70",70,NA,"ASHBURN"
"71",71,NA,"AUBURN GRESHAM"
"72",72,19.09,"BEVERLY"
"73",73,NA,"WASHINGTON HEIGHTS"
"74",74,NA,"MOUNT GREENWOOD"
"75",75,NA,"MORGAN PARK"
"76",76,8.82,"O'HARE"
"77",77,NA,"EDGEWATER"
